<s>
यह	2
एशिया	6
की	2
सबसे	5
बड़ी	6
मस्जिदों	10
में	6
से	6
एक	10
है	0
।	10
</s>
<s>	
इसे	5
नवाब	3
शाहजेहन	5
ने	3
बनवाया	0
था	5
।	5
</s>
<s>
इसका	3
प्रवेश	3
द्वार	6
दो	5
मंजिला	6
है	0
।	6
</s>
<s>	
जिसमें	4
चार	3
मेहराबें	4
हैं	5
और	0
मुख्य	8
प्रार्थना	8
हॉल	16
में	8
जाने	16
के	10
लिए	10
9	15
प्रवेश	15
द्वार	16
हैं	5
।	5
</s>
<s>	
पूरी	2
इमारत	5
बेहद	4
खूबसूरत	5
है	0
।	5
</s>
<s>	
यहाँ	2
लगने	7
वाला	2
तीन	5
दिन	7
का	5
इज्तिमा	14
पूरे	9
देश	11
के	9
लोगों	14
को	11
आमंत्रित	14
करता	0
है	14
।	14
</s>
<s>	
शौकत	2
महल	20
के	2
सामने	2
बड़ी	6
झील	8
के	6
किनारे	9
स्थित	10
वास्तुकला	14
का	10
यह	14
खूबसूरत	14
नमूना	20
कुदसिया	16
बेगम	18
के	16
काल	14
का	18
है	0
जिन्हें	25
गोहर	23
बेगम	25
भी	23
कहा	16
जाता	25
था	26
।	20
</s>
<s>	
यह	9
हिंदू	3
और	5
मुगल	3
कला	8
का	5
अद्भुत	8
संगम	9
है	0
।	9
</s>
<s>	
यह	7
भारत	6
की	2
अनूठी	6
राष्ट्रीय	4
संस्था	7
है	0
।	7
</s>
<s>	
मुख्य	2
रूप	12
से	2
यह	12
प्रदर्शन	6
कला	7
और	11
दृश्य	9
कला	7
का	9
केंद्र	12
है	0
।	12
</s>
<s>	
इसे	6
चार्ल्स	3
कोरिया	6
ने	3
डिजाइन	6
किया	0
है	6
।	6
</s>
<s>	
विशाल	2
क्षेत्र	4
में	2
फैले	6
इस	6
भवन	13
के	6
आस	10
-	10
पास	6
का	10
प्राकृतिक	13
सौंदर्य	18
इसे	18
और	17
भी	15
भव्य	18
बनाता	0
है	18
।	18
</s>
<s>	
यहीं	38
पर	1
एक	5
कला	5
संग्रहालय	31
,	5
कला	8
दीर्घा	31
,	8
फाइन	11
आर्ट	8
के	11
लिए	11
कार्यशाला	31
,	14
एक	17
थिएटर	31
,	17
अंतरंग	20
और	22
बहिरंग	20
ऑडिटोरियम	31
,	22
रिहर्सल	25
कक्ष	31
,	25
भारतीय	28
कविताओं	30
का	28
पुस्तकालय	31
,	38
शास्त्रीय	33
और	35
लोक	33
संगीत	36
संग्रहालय	31
भी	36
हैं	0
।	38
</s>
<s>	
यह	15
सोमवार	15
के	2
अलावा	2
पूरे	6
सप्ताह	15
दोपहर	9
2	9
बजे	13
से	9
रात	13
8	13
बजे	15
तक	13
खुला	0
रहता	15
है	16
।	15
</s>
<s>	
यह	5
एक	4
अनूठा	4
संग्रहालय	5
है	0
जो	17
200	8
एकड़	17
में	8
श्यामला	11
हिल्स	17
पर	11
बड़ी	14
झील	17
के	14
सामने	14
फैला	4
है	17
।	5
</s>
<s>	
यह	6
एक	4
प्रागैतिहासिक	4
स्थल	6
पर	4
है	7
और	0
विश्व	16
में	8
अपनी	11
तरह	15
का	11
एक	15
ही	13
संग्रहालय	16
है	7
जो	25
प्रागैतिहासिक	19
चित्रकला	21
से	19
सज्जित	22
गुफाओं	25
के	22
समीप	22
है	15
।	7
</s>
<s>	
और	0
इस	3
तरह	13
से	3
यह	13
वस्तुओं	7
और	13
परंपराओं	7
से	8
जीवंत	11
रूप	13
से	11
जुड़ा	1
हुआ	13
है	14
।	1
</s>
<s>	
यहाँ	15
आदिवासी	8
,	2
समुद्र	5
किनारे	8
,	5
रेगिस्तान	8
और	13
हिमालय	11
के	9
आवासों	8
के	11
नमूने	15
भी	13
बनाए	0
गए	15
हैं	16
।	15
</s>
<s>	
यहाँ	17
संग्रहालय	17
में	2
पुस्तकालय	13
,	4
दृश्य	8
-	8
श्रृव्य	9
आर्काइव	13
,	9
कंप्यूटरीकृत	12
कक्ष	13
व	17
प्रजातीय	15
नमूनों	13
को	15
देखा	0
जाता	17
है	18
।	17
</s>
<s>	
यहाँ	14
मध्य	3
प्रदेश	6
के	3
विभिन्न	6
हिस्सों	14
से	6
कला	11
के	8
खूबसूरत	11
नमूने	13
एकत्रित	13
करके	14
रखे	0
गए	14
हैं	15
।	14
</s>
<s>	
संग्रहालय	5
सोमवार	5
को	2
बंद	5
रहता	0
है	5
।	5
</s>
